,pm2_5,pm10,so2,no2,o3,co
2017/9/22 0:00,49,81,3,16,112,0.7
2017/9/22 1:00,57,83,3,13,114,0.7
2017/9/22 2:00,57,73,2,9,97,0.5
2017/9/22 3:00,40,49,1,9,91,0.5
2017/9/22 4:00,57,102,3,61,5,0.6
2017/9/22 5:00,48,75,3,44,31,0.7
2017/9/22 6:00,48,88,3,45,16,0.8
2017/9/22 7:00,48,86,3,47,13,0.8
2017/9/22 8:00,27,115,3,7,58,0.3
2017/9/22 9:00,17,142,3,4,67,0.2
2017/9/22 10:00,2,41,3,5,79,0.2
2017/9/22 11:00,1,2,3,6,75,0.2
2017/9/22 12:00,0,,3,7,76,0.2
2017/9/22 13:00,0,0,3,7,78,0.2
2017/9/22 14:00,4,5,3,6,82,0.2
2017/9/22 15:00,4,8,3,8,91,0.2
2017/9/22 16:00,13,29,3,11,94,0.2
2017/9/22 17:00,0,29,3,9,92,0.2
2017/9/22 18:00,10,30,3,9,85,0.2
2017/9/22 19:00,10,40,3,19,67,0.3
2017/9/22 20:00,12,49,3,27,49,0.4
2017/9/22 21:00,11,42,3,17,51,0.4
2017/9/22 22:00,11,28,3,13,55,0.3
2017/9/22 23:00,6,30,3,9,54,0.3
2017/9/23 0:00,9,41,3,9,51,0.3
2017/9/23 1:00,9,43,3,8,49,0.3
2017/9/23 2:00,7,41,3,8,45,0.3
2017/9/23 3:00,8,47,3,8,44,0.3
2017/9/23 4:00,12,56,3,8,44,0.3
2017/9/23 5:00,15,64,3,9,44,0.3
2017/9/23 6:00,13,70,3,10,38,0.3
2017/9/23 7:00,13,75,3,13,37,0.4
2017/9/23 8:00,19,89,3,17,34,0.5
2017/9/23 9:00,20,118,1,22,32,0.6
2017/9/23 10:00,32,128,9,43,46,0.8
2017/9/23 11:00,32,186,11,48,60,0.8
2017/9/23 12:00,43,187,11,47,67,0.7
2017/9/23 13:00,50,198,14,46,90,0.8
2017/9/23 14:00,64,210,16,47,109,0.8
